date,cash_type,money,coffee_name,time,year,month,day_of_week,hour,time_period,price_tier
2025-02-14,card,20.0,Espresso,19:02:15,2025,2,Friday,19,Evening,Low
2025-02-14,cash,27.0,Chocolate with milk,19:24:49,2025,2,Friday,19,Evening,Medium
2025-02-14,card,29.0,Coffee with Irish whiskey,19:30:59,2025,2,Friday,19,Evening,High
2025-02-14,card,28.0,Super chocolate,19:53:26,2025,2,Friday,19,Evening,Medium
2025-02-14,card,28.0,Double Irish whiskey,19:54:48,2025,2,Friday,19,Evening,Medium
2025-02-15,card,25.0,Americano,09:38:59,2025,2,Saturday,9,Morning,Low
2025-02-15,card,27.0,Double vanilla,11:10:57,2025,2,Saturday,11,Morning,Medium
2025-02-15,cash,30.0,Mochaccino,13:43:38,2025,2,Saturday,13,Afternoon,High
2025-02-15,cash,27.0,Irish whiskey with milk,13:45:12,2025,2,Saturday,13,Afternoon,Medium
2025-02-15,card,15.0,Tea,15:33:24,2025,2,Saturday,15,Afternoon,Low
2025-02-15,card,25.0,Americano with milk,15:35:50,2025,2,Saturday,15,Afternoon,Low
2025-02-15,card,25.0,Americano with milk,15:48:07,2025,2,Saturday,15,Afternoon,Low
2025-02-16,card,33.0,Latte,16:36:54,2025,2,Sunday,16,Afternoon,High
2025-02-16,card,28.0,Caramel with chocolate,16:38:30,2025,2,Sunday,16,Afternoon,Medium
2025-02-16,cash,25.0,Irish whiskey,16:41:18,2025,2,Sunday,16,Afternoon,Low
2025-02-16,cash,20.0,Double vanilla,16:41:18,2025,2,Sunday,16,Afternoon,Low
2025-02-16,card,33.0,Latte,19:30:33,2025,2,Sunday,19,Evening,High
2025-02-16,card,29.0,Coffee with Irish whiskey,23:01:01,2025,2,Sunday,23,Evening,High
2025-02-16,card,30.0,Cappuccino,23:03:42,2025,2,Sunday,23,Evening,High
2025-02-16,card,28.0,Caramel coffee,23:04:57,2025,2,Sunday,23,Evening,Medium
2025-02-17,card,20.0,Espresso,07:58:44,2025,2,Monday,7,Morning,Low
2025-02-17,cash,30.0,Cappuccino,08:17:59,2025,2,Monday,8,Morning,High
2025-02-17,card,28.0,Caramel with Irish whiskey,16:26:51,2025,2,Monday,16,Afternoon,Medium
2025-02-17,cash,25.0,Americano with milk,16:57:46,2025,2,Monday,16,Afternoon,Low
2025-02-17,cash,20.0,Espresso,17:00:13,2025,2,Monday,17,Evening,Low
2025-02-17,card,30.0,Cappuccino,17:52:39,2025,2,Monday,17,Evening,High
2025-02-17,cash,29.0,Coffee with Irish whiskey,18:26:38,2025,2,Monday,18,Evening,High
2025-02-17,cash,25.0,Americano with milk,22:10:07,2025,2,Monday,22,Evening,Low
2025-02-18,cash,28.0,Vanilla with Irish whiskey,09:52:42,2025,2,Tuesday,9,Morning,Medium
2025-02-18,card,25.0,Americano with milk,10:14:06,2025,2,Tuesday,10,Morning,Low
2025-02-18,card,30.0,Cappuccino,15:36:44,2025,2,Tuesday,15,Afternoon,High
2025-02-18,card,25.0,Americano with milk,15:42:11,2025,2,Tuesday,15,Afternoon,Low
2025-02-19,cash,25.0,Americano,07:56:31,2025,2,Wednesday,7,Morning,Low
2025-02-19,card,25.0,Americano,10:38:04,2025,2,Wednesday,10,Morning,Low
2025-02-19,cash,25.0,Americano with milk,12:05:08,2025,2,Wednesday,12,Afternoon,Low
2025-02-19,card,20.0,Espresso,12:20:37,2025,2,Wednesday,12,Afternoon,Low
2025-02-20,card,30.0,Cappuccino,07:38:32,2025,2,Thursday,7,Morning,High
2025-02-20,cash,30.0,Mochaccino,08:04:41,2025,2,Thursday,8,Morning,High
2025-02-20,card,29.0,Coffee with Irish whiskey,08:57:54,2025,2,Thursday,8,Morning,High
2025-02-20,cash,25.0,Americano with milk,09:36:06,2025,2,Thursday,9,Morning,Low
2025-02-20,cash,20.0,Espresso,09:36:06,2025,2,Thursday,9,Morning,Low
2025-02-20,card,33.0,Latte,12:07:16,2025,2,Thursday,12,Afternoon,High
2025-02-20,card,30.0,Cappuccino,12:09:01,2025,2,Thursday,12,Afternoon,High
2025-02-20,card,25.0,Chocolate,13:20:58,2025,2,Thursday,13,Afternoon,Low
2025-02-20,card,25.0,Americano with milk,17:06:57,2025,2,Thursday,17,Evening,Low
2025-02-20,cash,25.0,Americano with milk,17:09:30,2025,2,Thursday,17,Evening,Low
2025-02-20,card,28.0,Double Irish whiskey,17:42:39,2025,2,Thursday,17,Evening,Medium
2025-02-21,cash,25.0,Irish whiskey,08:39:10,2025,2,Friday,8,Morning,Low
2025-02-21,card,30.0,Mochaccino,09:20:59,2025,2,Friday,9,Morning,High
2025-02-21,card,25.0,Irish whiskey,09:49:18,2025,2,Friday,9,Morning,Low
2025-02-21,cash,25.0,Americano with milk,10:14:07,2025,2,Friday,10,Morning,Low
2025-02-21,card,25.0,Americano with milk,15:56:21,2025,2,Friday,15,Afternoon,Low
2025-02-21,card,28.0,Double Irish whiskey,16:13:01,2025,2,Friday,16,Afternoon,Medium
2025-02-21,cash,20.0,Espresso,16:44:24,2025,2,Friday,16,Afternoon,Low
2025-02-21,card,33.0,Latte,17:12:49,2025,2,Friday,17,Evening,High
2025-02-21,cash,25.0,Americano with milk,18:43:58,2025,2,Friday,18,Evening,Low
2025-02-21,card,33.0,Latte,18:45:20,2025,2,Friday,18,Evening,High
2025-02-21,cash,15.0,Tea,18:55:19,2025,2,Friday,18,Evening,Low
2025-02-22,card,28.0,Caramel with chocolate,12:08:32,2025,2,Saturday,12,Afternoon,Medium
2025-02-22,card,33.0,Latte,18:38:38,2025,2,Saturday,18,Evening,High
2025-02-22,card,25.0,Americano with milk,18:38:38,2025,2,Saturday,18,Evening,Low
2025-02-22,card,29.0,Coffee with Irish whiskey,19:05:11,2025,2,Saturday,19,Evening,High
2025-02-23,card,28.0,Double Irish whiskey,11:04:22,2025,2,Sunday,11,Morning,Medium
2025-02-23,card,25.0,Americano,15:09:53,2025,2,Sunday,15,Afternoon,Low
2025-02-23,card,25.0,Americano with milk,15:19:14,2025,2,Sunday,15,Afternoon,Low
2025-02-23,cash,28.0,Double Irish whiskey,15:57:49,2025,2,Sunday,15,Afternoon,Medium
2025-02-24,card,15.0,Tea,13:23:23,2025,2,Monday,13,Afternoon,Low
2025-02-24,card,28.0,Caramel with Irish whiskey,18:32:28,2025,2,Monday,18,Evening,Medium
2025-02-24,card,28.0,Caramel with Irish whiskey,18:33:49,2025,2,Monday,18,Evening,Medium
2025-02-24,card,25.0,Caramel with milk,20:15:01,2025,2,Monday,20,Evening,Low
2025-02-25,card,29.0,Coffee with Irish whiskey,21:41:58,2025,2,Tuesday,21,Evening,High
2025-02-25,card,33.0,Latte,21:43:45,2025,2,Tuesday,21,Evening,High
2025-02-26,cash,25.0,Americano with milk,09:41:12,2025,2,Wednesday,9,Morning,Low
2025-02-26,cash,25.0,Americano with milk,09:41:12,2025,2,Wednesday,9,Morning,Low
2025-02-26,cash,25.0,Irish whiskey,10:29:33,2025,2,Wednesday,10,Morning,Low
2025-02-26,card,33.0,Latte,11:31:35,2025,2,Wednesday,11,Morning,High
2025-02-26,card,27.0,Irish whiskey with milk,11:36:20,2025,2,Wednesday,11,Morning,Medium
2025-02-26,cash,15.0,Tea,11:44:39,2025,2,Wednesday,11,Morning,Low
2025-02-26,cash,20.0,Espresso,11:49:57,2025,2,Wednesday,11,Morning,Low
2025-02-26,card,15.0,Tea,11:56:36,2025,2,Wednesday,11,Morning,Low
2025-02-26,card,15.0,Tea,12:00:27,2025,2,Wednesday,12,Afternoon,Low
2025-02-26,card,15.0,Tea,12:17:03,2025,2,Wednesday,12,Afternoon,Low
2025-02-26,card,15.0,Tea,12:22:20,2025,2,Wednesday,12,Afternoon,Low
2025-02-26,cash,33.0,Latte,13:11:29,2025,2,Wednesday,13,Afternoon,High
2025-02-26,card,33.0,Latte,14:53:33,2025,2,Wednesday,14,Afternoon,High
2025-02-26,card,27.0,Irish whiskey with milk,16:45:34,2025,2,Wednesday,16,Afternoon,Medium
2025-02-26,card,29.0,Coffee with Irish whiskey,17:08:45,2025,2,Wednesday,17,Evening,High
2025-02-26,card,25.0,Caramel with milk,17:13:28,2025,2,Wednesday,17,Evening,Low
2025-02-26,card,28.0,Caramel with chocolate,20:49:00,2025,2,Wednesday,20,Evening,Medium
2025-02-27,cash,25.0,Americano with milk,11:37:57,2025,2,Thursday,11,Morning,Low
2025-02-27,cash,15.0,Tea,17:04:29,2025,2,Thursday,17,Evening,Low
2025-02-28,card,25.0,Americano with milk,07:58:50,2025,2,Friday,7,Morning,Low
2025-02-28,cash,20.0,Espresso,12:02:54,2025,2,Friday,12,Afternoon,Low
2025-02-28,cash,33.0,Latte,14:40:03,2025,2,Friday,14,Afternoon,High
2025-02-28,cash,33.0,Latte,14:42:05,2025,2,Friday,14,Afternoon,High
2025-02-28,cash,30.0,Cappuccino,15:39:43,2025,2,Friday,15,Afternoon,High
2025-02-28,cash,25.0,Americano with milk,15:42:11,2025,2,Friday,15,Afternoon,Low
2025-02-28,card,28.0,Super chocolate,19:54:43,2025,2,Friday,19,Evening,Medium
2025-02-28,card,28.0,Double Irish whiskey,22:14:42,2025,2,Friday,22,Evening,Medium
2025-02-28,card,25.0,Americano with milk,22:32:32,2025,2,Friday,22,Evening,Low
2025-03-01,cash,30.0,Cappuccino,11:37:35,2025,3,Saturday,11,Morning,High
2025-03-01,cash,25.0,Americano with milk,11:43:55,2025,3,Saturday,11,Morning,Low
2025-03-01,cash,15.0,Tea,12:48:46,2025,3,Saturday,12,Afternoon,Low
2025-03-01,card,27.0,Chocolate with milk,14:48:41,2025,3,Saturday,14,Afternoon,Medium
2025-03-01,card,27.0,Irish whiskey with milk,16:35:56,2025,3,Saturday,16,Afternoon,Medium
2025-03-02,card,25.0,Americano with milk,11:18:50,2025,3,Sunday,11,Morning,Low
2025-03-02,card,30.0,Cappuccino,11:20:34,2025,3,Sunday,11,Morning,High
2025-03-02,card,28.0,Caramel coffee,12:16:41,2025,3,Sunday,12,Afternoon,Medium
2025-03-02,cash,28.0,Coffee with chocolate,12:48:05,2025,3,Sunday,12,Afternoon,Medium
2025-03-02,cash,30.0,Cappuccino,12:48:05,2025,3,Sunday,12,Afternoon,High
2025-03-02,cash,28.0,Super chocolate,14:54:16,2025,3,Sunday,14,Afternoon,Medium
2025-03-02,card,25.0,Irish whiskey,16:09:56,2025,3,Sunday,16,Afternoon,Low
2025-03-02,card,27.0,Chocolate with milk,20:12:18,2025,3,Sunday,20,Evening,Medium
2025-03-02,card,27.0,Irish whiskey with milk,20:13:42,2025,3,Sunday,20,Evening,Medium
2025-03-02,card,33.0,Latte,20:16:54,2025,3,Sunday,20,Evening,High
2025-03-02,cash,25.0,Caramel with milk,20:30:04,2025,3,Sunday,20,Evening,Low
2025-03-03,card,25.0,Americano with milk,10:40:15,2025,3,Monday,10,Morning,Low
2025-03-03,card,25.0,Irish whiskey,11:08:15,2025,3,Monday,11,Morning,Low
2025-03-03,card,25.0,Irish whiskey,11:14:04,2025,3,Monday,11,Morning,Low
2025-03-03,card,27.0,Irish with chocolate,11:24:26,2025,3,Monday,11,Morning,Medium
2025-03-03,card,28.0,Caramel with Irish whiskey,16:23:33,2025,3,Monday,16,Afternoon,Medium
2025-03-03,card,25.0,Americano with milk,21:58:37,2025,3,Monday,21,Evening,Low
2025-03-05,card,25.0,Irish whiskey,11:29:31,2025,3,Wednesday,11,Morning,Low
2025-03-05,card,27.0,Vanilla coffee,11:39:26,2025,3,Wednesday,11,Morning,Medium
2025-03-05,cash,20.0,Espresso,12:34:30,2025,3,Wednesday,12,Afternoon,Low
2025-03-05,cash,25.0,Americano,13:12:49,2025,3,Wednesday,13,Afternoon,Low
2025-03-05,cash,27.0,Irish whiskey with milk,13:17:06,2025,3,Wednesday,13,Afternoon,Medium
2025-03-05,card,33.0,Latte,18:38:51,2025,3,Wednesday,18,Evening,High
2025-03-05,card,25.0,Americano with milk,18:40:11,2025,3,Wednesday,18,Evening,Low
2025-03-05,card,25.0,Americano,18:44:49,2025,3,Wednesday,18,Evening,Low
2025-03-07,card,27.0,Double ristretto,12:36:33,2025,3,Friday,12,Afternoon,Medium
2025-03-07,card,25.0,Americano with milk,12:37:48,2025,3,Friday,12,Afternoon,Low
2025-03-07,card,27.0,Irish with chocolate,14:19:54,2025,3,Friday,14,Afternoon,Medium
2025-03-07,card,25.0,Irish whiskey,14:21:18,2025,3,Friday,14,Afternoon,Low
2025-03-07,cash,27.0,Chocolate with milk,21:35:05,2025,3,Friday,21,Evening,Medium
2025-03-08,card,25.0,Americano with milk,11:32:24,2025,3,Saturday,11,Morning,Low
2025-03-08,card,20.0,Espresso,16:35:18,2025,3,Saturday,16,Afternoon,Low
2025-03-08,card,30.0,Hot milkshake,21:32:09,2025,3,Saturday,21,Evening,High
2025-03-08,card,28.0,Caramel with chocolate,21:48:58,2025,3,Saturday,21,Evening,Medium
2025-03-09,card,25.0,Americano,07:47:14,2025,3,Sunday,7,Morning,Low
2025-03-09,card,25.0,Americano,11:47:13,2025,3,Sunday,11,Morning,Low
2025-03-09,cash,25.0,Americano,15:05:27,2025,3,Sunday,15,Afternoon,Low
2025-03-09,card,30.0,Mochaccino,15:07:45,2025,3,Sunday,15,Afternoon,High
2025-03-09,card,25.0,Americano,17:32:54,2025,3,Sunday,17,Evening,Low
2025-03-09,card,28.0,Vanilla with Irish whiskey,18:05:00,2025,3,Sunday,18,Evening,Medium
2025-03-09,card,27.0,Irish whiskey with milk,18:43:39,2025,3,Sunday,18,Evening,Medium
2025-03-09,cash,27.0,Chocolate with milk,19:19:21,2025,3,Sunday,19,Evening,Medium
2025-03-10,cash,25.0,Americano,12:11:09,2025,3,Monday,12,Afternoon,Low
2025-03-10,card,27.0,Irish whiskey with milk,14:01:03,2025,3,Monday,14,Afternoon,Medium
2025-03-10,card,27.0,Irish whiskey with milk,15:25:38,2025,3,Monday,15,Afternoon,Medium
2025-03-10,card,30.0,Cappuccino,22:12:01,2025,3,Monday,22,Evening,High
2025-03-11,card,30.0,Cappuccino,07:52:45,2025,3,Tuesday,7,Morning,High
2025-03-11,cash,27.0,Chocolate with milk,10:04:22,2025,3,Tuesday,10,Morning,Medium
2025-03-11,cash,28.0,Super chocolate,12:41:27,2025,3,Tuesday,12,Afternoon,Medium
2025-03-11,card,27.0,Irish with chocolate,18:03:20,2025,3,Tuesday,18,Evening,Medium
2025-03-11,card,27.0,Irish with chocolate,18:04:42,2025,3,Tuesday,18,Evening,Medium
2025-03-12,card,33.0,Latte,07:53:08,2025,3,Wednesday,7,Morning,High
2025-03-12,card,25.0,Americano,08:41:17,2025,3,Wednesday,8,Morning,Low
2025-03-12,card,25.0,Americano with milk,16:56:27,2025,3,Wednesday,16,Afternoon,Low
2025-03-12,card,28.0,Double Irish whiskey,16:58:14,2025,3,Wednesday,16,Afternoon,Medium
2025-03-12,card,25.0,Americano with milk,18:50:47,2025,3,Wednesday,18,Evening,Low
2025-03-12,card,25.0,Americano with milk,18:52:44,2025,3,Wednesday,18,Evening,Low
2025-03-12,card,27.0,Irish whiskey with milk,21:37:51,2025,3,Wednesday,21,Evening,Medium
2025-03-12,card,27.0,Irish whiskey with milk,21:39:14,2025,3,Wednesday,21,Evening,Medium
2025-03-14,card,25.0,Americano with milk,12:31:32,2025,3,Friday,12,Afternoon,Low
2025-03-14,card,28.0,Double Irish whiskey,13:46:07,2025,3,Friday,13,Afternoon,Medium
2025-03-14,card,33.0,Latte,15:59:44,2025,3,Friday,15,Afternoon,High
2025-03-14,card,27.0,Irish whiskey with milk,21:27:31,2025,3,Friday,21,Evening,Medium
2025-03-15,card,15.0,Tea,13:12:26,2025,3,Saturday,13,Afternoon,Low
2025-03-15,card,20.0,Espresso,13:15:33,2025,3,Saturday,13,Afternoon,Low
2025-03-15,card,25.0,Irish whiskey,13:37:40,2025,3,Saturday,13,Afternoon,Low
2025-03-15,card,25.0,Irish whiskey,13:39:02,2025,3,Saturday,13,Afternoon,Low
2025-03-15,card,27.0,Irish whiskey with milk,14:56:24,2025,3,Saturday,14,Afternoon,Medium
2025-03-15,card,27.0,Chocolate with milk,14:57:48,2025,3,Saturday,14,Afternoon,Medium
2025-03-15,card,28.0,Caramel with Irish whiskey,15:48:00,2025,3,Saturday,15,Afternoon,Medium
2025-03-15,card,25.0,Irish whiskey,19:08:45,2025,3,Saturday,19,Evening,Low
2025-03-15,card,25.0,Americano with milk,19:10:04,2025,3,Saturday,19,Evening,Low
2025-03-15,card,33.0,Latte,21:02:14,2025,3,Saturday,21,Evening,High
2025-03-15,card,30.0,Cappuccino,21:58:17,2025,3,Saturday,21,Evening,High
2025-03-16,card,25.0,Americano with milk,13:50:06,2025,3,Sunday,13,Afternoon,Low
2025-03-16,card,25.0,Americano with milk,14:45:25,2025,3,Sunday,14,Afternoon,Low
2025-03-16,cash,25.0,Americano with milk,15:04:02,2025,3,Sunday,15,Afternoon,Low
2025-03-16,card,29.0,Coffee with Irish whiskey,16:01:45,2025,3,Sunday,16,Afternoon,High
2025-03-17,card,29.0,Coffee with Irish whiskey,08:01:14,2025,3,Monday,8,Morning,High
2025-03-17,card,25.0,Irish whiskey,11:03:49,2025,3,Monday,11,Morning,Low
2025-03-17,card,33.0,Latte,16:44:56,2025,3,Monday,16,Afternoon,High
2025-03-17,card,29.0,Coffee with Irish whiskey,17:33:56,2025,3,Monday,17,Evening,High
2025-03-17,card,29.0,Coffee with Irish whiskey,18:33:37,2025,3,Monday,18,Evening,High
2025-03-18,card,29.0,Coffee with Irish whiskey,08:25:07,2025,3,Tuesday,8,Morning,High
2025-03-18,cash,28.0,Double Irish whiskey,15:02:02,2025,3,Tuesday,15,Afternoon,Medium
2025-03-18,cash,20.0,Espresso,17:44:32,2025,3,Tuesday,17,Evening,Low
2025-03-18,card,25.0,Irish whiskey,17:47:22,2025,3,Tuesday,17,Evening,Low
2025-03-18,card,30.0,Chocolate with coffee,19:35:21,2025,3,Tuesday,19,Evening,High
2025-03-18,card,30.0,Chocolate with coffee,19:36:32,2025,3,Tuesday,19,Evening,High
2025-03-19,card,25.0,Irish whiskey,16:56:15,2025,3,Wednesday,16,Afternoon,Low
2025-03-19,card,27.0,Chocolate with milk,17:38:00,2025,3,Wednesday,17,Evening,Medium
2025-03-19,cash,30.0,Mochaccino,17:42:13,2025,3,Wednesday,17,Evening,High
2025-03-19,cash,33.0,Latte,17:44:09,2025,3,Wednesday,17,Evening,High
2025-03-19,cash,25.0,Double chocolate,19:42:58,2025,3,Wednesday,19,Evening,Low
2025-03-20,card,25.0,Irish whiskey,08:10:49,2025,3,Thursday,8,Morning,Low
2025-03-20,card,33.0,Latte,11:54:23,2025,3,Thursday,11,Morning,High
2025-03-20,cash,30.0,Chocolate with coffee,17:22:35,2025,3,Thursday,17,Evening,High
2025-03-21,card,25.0,Irish whiskey,09:04:53,2025,3,Friday,9,Morning,Low
2025-03-21,card,27.0,Chocolate with milk,19:37:46,2025,3,Friday,19,Evening,Medium
2025-03-21,card,28.0,Super chocolate,19:39:07,2025,3,Friday,19,Evening,Medium
2025-03-21,card,25.0,Americano with milk,21:47:03,2025,3,Friday,21,Evening,Low
2025-03-22,card,27.0,Irish whiskey with milk,10:54:05,2025,3,Saturday,10,Morning,Medium
2025-03-22,card,27.0,Irish with chocolate,10:55:29,2025,3,Saturday,10,Morning,Medium
2025-03-22,card,25.0,Irish whiskey,11:00:25,2025,3,Saturday,11,Morning,Low
2025-03-22,card,15.0,Tea,16:59:05,2025,3,Saturday,16,Afternoon,Low
2025-03-22,cash,25.0,Irish whiskey,17:07:45,2025,3,Saturday,17,Evening,Low
2025-03-22,card,28.0,Caramel with Irish whiskey,17:44:51,2025,3,Saturday,17,Evening,Medium
2025-03-22,cash,22.0,Caramel,17:58:01,2025,3,Saturday,17,Evening,Low
2025-03-22,card,25.0,Americano with milk,22:19:59,2025,3,Saturday,22,Evening,Low
2025-03-22,card,25.0,Americano with milk,22:21:21,2025,3,Saturday,22,Evening,Low
2025-03-22,card,29.0,Coffee with Irish whiskey,22:23:39,2025,3,Saturday,22,Evening,High
2025-03-23,cash,25.0,Irish whiskey,10:16:44,2025,3,Sunday,10,Morning,Low
2025-03-23,cash,25.0,Americano with milk,10:25:48,2025,3,Sunday,10,Morning,Low
2025-03-23,cash,25.0,Americano with milk,10:25:48,2025,3,Sunday,10,Morning,Low
2025-03-23,cash,30.0,Cappuccino,14:55:46,2025,3,Sunday,14,Afternoon,High
2025-03-23,card,25.0,Irish whiskey,15:15:36,2025,3,Sunday,15,Afternoon,Low
2025-03-23,card,28.0,Super chocolate,17:59:25,2025,3,Sunday,17,Evening,Medium
2025-03-23,card,28.0,Vanilla with Irish whiskey,18:01:33,2025,3,Sunday,18,Evening,Medium
2025-03-23,card,29.0,Coffee with Irish whiskey,21:23:11,2025,3,Sunday,21,Evening,High
