date,cash_type,card,money,coffee_name,time,year,month,day_of_week,hour,time_period,price_tier
2024-03-07,card,ANON-0000-0000-0030,38.7,Hot Chocolate,10:18:40.543,2024,3,Thursday,10,Morning,High
2024-03-07,card,ANON-0000-0000-0031,38.7,Latte,11:03:58.976,2024,3,Thursday,11,Morning,High
2024-03-07,cash,Unknown,40.0,Latte,11:25:43.977,2024,3,Thursday,11,Morning,High
2024-03-07,card,ANON-0000-0000-0032,28.9,Americano,15:40:22.606,2024,3,Thursday,15,Afternoon,Low
2024-03-07,card,ANON-0000-0000-0033,33.8,Americano with Milk,15:41:28.784,2024,3,Thursday,15,Afternoon,Medium
2024-03-08,card,ANON-0000-0000-0012,28.9,Cortado,10:34:41.283,2024,3,Friday,10,Morning,Low
2024-03-08,card,ANON-0000-0000-0034,38.7,Cappuccino,12:22:28.653,2024,3,Friday,12,Afternoon,High
2024-03-08,card,ANON-0000-0000-0035,28.9,Americano,13:53:02.042,2024,3,Friday,13,Afternoon,Low
2024-03-08,card,ANON-0000-0000-0012,28.9,Americano,14:44:12.686,2024,3,Friday,14,Afternoon,Low
2024-03-08,card,ANON-0000-0000-0033,28.9,Americano,14:45:11.048,2024,3,Friday,14,Afternoon,Low
2024-03-08,card,ANON-0000-0000-0012,33.8,Americano with Milk,14:46:11.155,2024,3,Friday,14,Afternoon,Medium
2024-03-08,card,ANON-0000-0000-0036,38.7,Latte,18:57:51.451,2024,3,Friday,18,Evening,High
2024-03-08,card,ANON-0000-0000-0037,38.7,Latte,18:59:24.941,2024,3,Friday,18,Evening,High
2024-03-09,cash,Unknown,40.0,Hot Chocolate,11:49:37.292,2024,3,Saturday,11,Morning,High
2024-03-09,card,ANON-0000-0000-0038,24.0,Espresso,12:05:15.559,2024,3,Saturday,12,Afternoon,Low
2024-03-09,card,ANON-0000-0000-0039,28.9,Americano,12:07:38.275,2024,3,Saturday,12,Afternoon,Low
2024-03-09,card,ANON-0000-0000-0012,38.7,Cappuccino,12:09:47.714,2024,3,Saturday,12,Afternoon,High
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano,12:13:03.521,2024,3,Saturday,12,Afternoon,Low
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano,12:14:26.458,2024,3,Saturday,12,Afternoon,Low
2024-03-09,card,ANON-0000-0000-0041,38.7,Latte,13:09:22.229,2024,3,Saturday,13,Afternoon,High
2024-03-09,card,ANON-0000-0000-0042,33.8,Americano with Milk,13:41:06.167,2024,3,Saturday,13,Afternoon,Medium
2024-03-09,card,ANON-0000-0000-0043,28.9,Cortado,13:53:10.408,2024,3,Saturday,13,Afternoon,Low
2024-03-09,card,ANON-0000-0000-0043,38.7,Cappuccino,13:54:36.828,2024,3,Saturday,13,Afternoon,High
2024-03-09,card,ANON-0000-0000-0009,33.8,Americano with Milk,14:08:01.829,2024,3,Saturday,14,Afternoon,Medium
2024-03-09,card,ANON-0000-0000-0044,38.7,Hot Chocolate,14:26:52.873,2024,3,Saturday,14,Afternoon,High
2024-03-09,card,ANON-0000-0000-0009,38.7,Cappuccino,19:17:57.572,2024,3,Saturday,19,Evening,High
2024-03-09,card,ANON-0000-0000-0009,38.7,Hot Chocolate,19:19:10.084,2024,3,Saturday,19,Evening,High
2024-03-10,cash,Unknown,30.0,Americano,07:44:18.538,2024,3,Sunday,7,Morning,Medium
2024-03-10,cash,Unknown,35.0,Americano with Milk,07:45:29.441,2024,3,Sunday,7,Morning,Medium
2024-03-10,cash,Unknown,40.0,Latte,10:06:02.960,2024,3,Sunday,10,Morning,High
2024-03-10,card,ANON-0000-0000-0045,24.0,Espresso,11:19:20.764,2024,3,Sunday,11,Morning,Low
2024-03-10,cash,Unknown,35.0,Americano with Milk,17:51:03.048,2024,3,Sunday,17,Evening,Medium
2024-03-10,card,ANON-0000-0000-0046,38.7,Latte,19:34:00.478,2024,3,Sunday,19,Evening,High
2024-03-10,card,ANON-0000-0000-0046,28.9,Cortado,19:35:54.712,2024,3,Sunday,19,Evening,Low
2024-03-11,cash,Unknown,40.0,Latte,10:18:46.724,2024,3,Monday,10,Morning,High
2024-03-11,cash,Unknown,40.0,Cappuccino,11:24:15.022,2024,3,Monday,11,Morning,High
2024-03-11,cash,Unknown,30.0,Cortado,11:24:51.565,2024,3,Monday,11,Morning,Medium
2024-03-11,cash,Unknown,30.0,Americano,11:26:44.221,2024,3,Monday,11,Morning,Medium
2024-03-11,card,ANON-0000-0000-0035,38.7,Cappuccino,11:32:58.781,2024,3,Monday,11,Morning,High
2024-03-11,card,ANON-0000-0000-0047,28.9,Americano,16:24:26.401,2024,3,Monday,16,Afternoon,Low
2024-03-11,card,ANON-0000-0000-0047,38.7,Latte,16:25:45.664,2024,3,Monday,16,Afternoon,High
2024-03-11,card,ANON-0000-0000-0048,28.9,Cortado,16:50:49.608,2024,3,Monday,16,Afternoon,Low
2024-03-12,cash,Unknown,40.0,Latte,10:15:00.297,2024,3,Tuesday,10,Morning,High
2024-03-12,card,ANON-0000-0000-0033,28.9,Americano,10:15:34.543,2024,3,Tuesday,10,Morning,Low
2024-03-12,card,ANON-0000-0000-0033,28.9,Cortado,10:16:24.886,2024,3,Tuesday,10,Morning,Low
2024-03-12,card,ANON-0000-0000-0049,38.7,Hot Chocolate,11:20:45.632,2024,3,Tuesday,11,Morning,High
2024-03-12,card,ANON-0000-0000-0004,33.8,Americano with Milk,12:46:23.275,2024,3,Tuesday,12,Afternoon,Medium
2024-03-12,card,ANON-0000-0000-0004,28.9,Americano,12:47:26.027,2024,3,Tuesday,12,Afternoon,Low
2024-03-12,card,ANON-0000-0000-0050,28.9,Americano,16:15:43.325,2024,3,Tuesday,16,Afternoon,Low
2024-03-13,card,ANON-0000-0000-0048,38.7,Hot Chocolate,11:06:43.038,2024,3,Wednesday,11,Morning,High
2024-03-13,card,ANON-0000-0000-0004,28.9,Americano,11:48:16.753,2024,3,Wednesday,11,Morning,Low
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano,12:18:06.336,2024,3,Wednesday,12,Afternoon,Low
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano,12:19:05.128,2024,3,Wednesday,12,Afternoon,Low
2024-03-13,cash,Unknown,25.0,Espresso,12:34:30.315,2024,3,Wednesday,12,Afternoon,Low
2024-03-13,card,ANON-0000-0000-0052,33.8,Americano with Milk,14:26:40.875,2024,3,Wednesday,14,Afternoon,Medium
2024-03-13,card,ANON-0000-0000-0053,24.0,Espresso,15:40:22.261,2024,3,Wednesday,15,Afternoon,Low
2024-03-13,card,ANON-0000-0000-0053,24.0,Espresso,15:41:20.424,2024,3,Wednesday,15,Afternoon,Low
2024-03-13,card,ANON-0000-0000-0054,24.0,Espresso,16:47:09.373,2024,3,Wednesday,16,Afternoon,Low
2024-03-14,cash,Unknown,40.0,Latte,10:02:12.241,2024,3,Thursday,10,Morning,High
2024-03-14,card,ANON-0000-0000-0055,38.7,Latte,10:28:33.017,2024,3,Thursday,10,Morning,High
2024-03-14,card,ANON-0000-0000-0055,38.7,Hot Chocolate,10:29:34.283,2024,3,Thursday,10,Morning,High
2024-03-14,card,ANON-0000-0000-0012,28.9,Cortado,13:27:29.536,2024,3,Thursday,13,Afternoon,Low
2024-03-14,card,ANON-0000-0000-0012,28.9,Americano,13:28:24.527,2024,3,Thursday,13,Afternoon,Low
2024-03-14,card,ANON-0000-0000-0056,33.8,Americano with Milk,13:51:59.905,2024,3,Thursday,13,Afternoon,Medium
2024-03-14,card,ANON-0000-0000-0057,24.0,Espresso,13:52:56.248,2024,3,Thursday,13,Afternoon,Low
2024-03-14,card,ANON-0000-0000-0058,38.7,Latte,15:20:38.367,2024,3,Thursday,15,Afternoon,High
2024-03-14,card,ANON-0000-0000-0059,33.8,Americano with Milk,16:04:09.506,2024,3,Thursday,16,Afternoon,Medium
2024-03-14,card,ANON-0000-0000-0050,24.0,Espresso,16:54:38.202,2024,3,Thursday,16,Afternoon,Low
2024-03-14,card,ANON-0000-0000-0019,38.7,Hot Chocolate,18:58:55.854,2024,3,Thursday,18,Evening,High
2024-03-14,card,ANON-0000-0000-0012,28.9,Cortado,19:00:08.663,2024,3,Thursday,19,Evening,Low
2024-03-15,cash,Unknown,40.0,Latte,10:02:16.533,2024,3,Friday,10,Morning,High
2024-03-15,card,ANON-0000-0000-0060,38.7,Hot Chocolate,10:53:02.180,2024,3,Friday,10,Morning,High
2024-03-15,card,ANON-0000-0000-0012,28.9,Americano,18:19:27.922,2024,3,Friday,18,Evening,Low
2024-03-16,card,ANON-0000-0000-0061,33.8,Americano with Milk,12:06:55.209,2024,3,Saturday,12,Afternoon,Medium
2024-03-16,card,ANON-0000-0000-0061,28.9,Americano,12:07:53.915,2024,3,Saturday,12,Afternoon,Low
2024-03-16,card,ANON-0000-0000-0009,28.9,Cortado,15:58:18.458,2024,3,Saturday,15,Afternoon,Low
2024-03-16,card,ANON-0000-0000-0009,28.9,Cortado,16:03:21.738,2024,3,Saturday,16,Afternoon,Low
2024-03-16,card,ANON-0000-0000-0012,28.9,Cortado,16:04:11.444,2024,3,Saturday,16,Afternoon,Low
2024-03-16,card,ANON-0000-0000-0062,33.8,Americano with Milk,17:58:07.241,2024,3,Saturday,17,Evening,Medium
2024-03-17,cash,Unknown,40.0,Latte,10:10:21.399,2024,3,Sunday,10,Morning,High
2024-03-17,card,ANON-0000-0000-0063,28.9,Cortado,12:55:26.065,2024,3,Sunday,12,Afternoon,Low
2024-03-18,card,ANON-0000-0000-0064,28.9,Cortado,11:17:59.671,2024,3,Monday,11,Morning,Low
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:31:39.725,2024,3,Monday,15,Afternoon,Low
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:32:38.239,2024,3,Monday,15,Afternoon,Low
2024-03-18,card,ANON-0000-0000-0003,28.9,Americano,15:33:36.708,2024,3,Monday,15,Afternoon,Low
2024-03-19,cash,Unknown,30.0,Cortado,10:20:25.996,2024,3,Tuesday,10,Morning,Medium
2024-03-19,card,ANON-0000-0000-0065,38.7,Latte,14:02:21.536,2024,3,Tuesday,14,Afternoon,High
2024-03-19,card,ANON-0000-0000-0065,38.7,Latte,14:03:19.765,2024,3,Tuesday,14,Afternoon,High
2024-03-19,card,ANON-0000-0000-0049,38.7,Hot Chocolate,15:04:36.309,2024,3,Tuesday,15,Afternoon,High
2024-03-19,card,ANON-0000-0000-0066,33.8,Americano with Milk,16:53:48.706,2024,3,Tuesday,16,Afternoon,Medium
2024-03-19,cash,Unknown,40.0,Hot Chocolate,19:26:32.677,2024,3,Tuesday,19,Evening,High
2024-03-20,card,ANON-0000-0000-0012,28.9,Cortado,11:41:16.403,2024,3,Wednesday,11,Morning,Low
2024-03-20,cash,Unknown,40.0,Latte,12:21:07.728,2024,3,Wednesday,12,Afternoon,High
2024-03-20,card,ANON-0000-0000-0049,28.9,Cortado,12:30:48.968,2024,3,Wednesday,12,Afternoon,Low
2024-03-20,card,ANON-0000-0000-0067,38.7,Cappuccino,13:16:47.394,2024,3,Wednesday,13,Afternoon,High
2024-03-20,card,ANON-0000-0000-0050,38.7,Cocoa,16:42:38.117,2024,3,Wednesday,16,Afternoon,High
2024-03-20,card,ANON-0000-0000-0068,38.7,Latte,17:50:28.781,2024,3,Wednesday,17,Evening,High
2024-03-21,cash,Unknown,40.0,Cappuccino,10:18:56.977,2024,3,Thursday,10,Morning,High
2024-03-21,card,ANON-0000-0000-0012,28.9,Cortado,12:25:09.194,2024,3,Thursday,12,Afternoon,Low
2024-03-21,card,ANON-0000-0000-0012,38.7,Cappuccino,12:26:17.428,2024,3,Thursday,12,Afternoon,High
2024-03-21,cash,Unknown,30.0,Americano,17:21:01.453,2024,3,Thursday,17,Evening,Medium
2024-03-21,card,ANON-0000-0000-0012,28.9,Cortado,17:22:01.353,2024,3,Thursday,17,Evening,Low
2024-03-21,card,ANON-0000-0000-0069,38.7,Latte,19:20:36.508,2024,3,Thursday,19,Evening,High
2024-03-22,card,ANON-0000-0000-0070,33.8,Americano with Milk,10:35:53.619,2024,3,Friday,10,Morning,Medium
2024-03-22,card,ANON-0000-0000-0071,33.8,Americano with Milk,13:29:20.343,2024,3,Friday,13,Afternoon,Medium
2024-03-22,cash,Unknown,40.0,Cappuccino,16:15:14.448,2024,3,Friday,16,Afternoon,High
2024-03-22,card,ANON-0000-0000-0012,28.9,Americano,17:17:03.724,2024,3,Friday,17,Evening,Low
2024-03-22,card,ANON-0000-0000-0012,24.0,Espresso,17:17:58.991,2024,3,Friday,17,Evening,Low
2024-03-22,card,ANON-0000-0000-0050,28.9,Americano,17:20:49.490,2024,3,Friday,17,Evening,Low
2024-03-23,card,ANON-0000-0000-0072,38.7,Latte,10:43:59.559,2024,3,Saturday,10,Morning,High
2024-03-23,card,ANON-0000-0000-0073,33.8,Americano with Milk,10:45:07.157,2024,3,Saturday,10,Morning,Medium
2024-03-23,card,ANON-0000-0000-0074,38.7,Cappuccino,13:10:07.661,2024,3,Saturday,13,Afternoon,High
2024-03-23,card,ANON-0000-0000-0074,38.7,Cocoa,13:11:12.230,2024,3,Saturday,13,Afternoon,High
2024-03-23,card,ANON-0000-0000-0075,33.8,Americano with Milk,14:44:41.276,2024,3,Saturday,14,Afternoon,Medium
2024-03-23,card,ANON-0000-0000-0076,38.7,Latte,15:47:19.062,2024,3,Saturday,15,Afternoon,High
2024-03-23,card,ANON-0000-0000-0076,33.8,Americano with Milk,15:49:33.813,2024,3,Saturday,15,Afternoon,Medium
2024-03-23,card,ANON-0000-0000-0009,28.9,Cortado,16:00:58.386,2024,3,Saturday,16,Afternoon,Low
2024-03-24,cash,Unknown,40.0,Latte,10:03:56.005,2024,3,Sunday,10,Morning,High
2024-03-24,card,ANON-0000-0000-0077,38.7,Latte,18:45:08.397,2024,3,Sunday,18,Evening,High
2024-03-25,card,ANON-0000-0000-0009,38.7,Latte,10:31:47.250,2024,3,Monday,10,Morning,High
2024-03-25,cash,Unknown,35.0,Americano with Milk,11:16:25.671,2024,3,Monday,11,Morning,Medium
2024-03-25,card,ANON-0000-0000-0078,38.7,Latte,14:27:09.163,2024,3,Monday,14,Afternoon,High
2024-03-25,card,ANON-0000-0000-0017,38.7,Latte,14:29:25.343,2024,3,Monday,14,Afternoon,High
2024-03-25,card,ANON-0000-0000-0024,33.8,Americano with Milk,18:37:30.650,2024,3,Monday,18,Evening,Medium
2024-03-25,card,ANON-0000-0000-0079,38.7,Cappuccino,19:34:24.542,2024,3,Monday,19,Evening,High
2024-03-26,card,ANON-0000-0000-0055,38.7,Cocoa,10:35:49.679,2024,3,Tuesday,10,Morning,High
2024-03-26,card,ANON-0000-0000-0055,38.7,Latte,10:36:36.151,2024,3,Tuesday,10,Morning,High
2024-03-26,card,ANON-0000-0000-0080,38.7,Latte,10:42:30.170,2024,3,Tuesday,10,Morning,High
2024-03-26,card,ANON-0000-0000-0009,28.9,Cortado,11:11:47.335,2024,3,Tuesday,11,Morning,Low
2024-03-26,card,ANON-0000-0000-0003,28.9,Americano,13:35:52.773,2024,3,Tuesday,13,Afternoon,Low
2024-03-26,card,ANON-0000-0000-0032,28.9,Cortado,13:36:49.644,2024,3,Tuesday,13,Afternoon,Low
2024-03-26,card,ANON-0000-0000-0059,28.9,Cortado,13:37:59.723,2024,3,Tuesday,13,Afternoon,Low
2024-03-26,card,ANON-0000-0000-0050,28.9,Americano,13:57:53.677,2024,3,Tuesday,13,Afternoon,Low
2024-03-26,card,ANON-0000-0000-0081,38.7,Latte,15:48:02.270,2024,3,Tuesday,15,Afternoon,High
2024-03-26,card,ANON-0000-0000-0024,38.7,Latte,18:33:38.568,2024,3,Tuesday,18,Evening,High
2024-03-26,card,ANON-0000-0000-0009,38.7,Hot Chocolate,18:34:54.648,2024,3,Tuesday,18,Evening,High
2024-03-27,card,ANON-0000-0000-0003,28.9,Cortado,11:04:51.174,2024,3,Wednesday,11,Morning,Low
2024-03-27,card,ANON-0000-0000-0003,33.8,Americano with Milk,11:05:58.236,2024,3,Wednesday,11,Morning,Medium
2024-03-27,card,ANON-0000-0000-0082,33.8,Americano with Milk,12:57:00.462,2024,3,Wednesday,12,Afternoon,Medium
2024-03-27,card,ANON-0000-0000-0083,38.7,Hot Chocolate,13:35:20.039,2024,3,Wednesday,13,Afternoon,High
2024-03-27,card,ANON-0000-0000-0012,38.7,Cappuccino,14:22:31.662,2024,3,Wednesday,14,Afternoon,High
2024-03-27,card,ANON-0000-0000-0012,28.9,Americano,14:23:35.380,2024,3,Wednesday,14,Afternoon,Low
2024-03-27,card,ANON-0000-0000-0084,28.9,Cortado,18:30:11.833,2024,3,Wednesday,18,Evening,Low
2024-03-27,cash,Unknown,40.0,Latte,19:31:12.442,2024,3,Wednesday,19,Evening,High
2024-03-28,card,ANON-0000-0000-0085,28.9,Cortado,14:24:47.092,2024,3,Thursday,14,Afternoon,Low
2024-03-28,card,ANON-0000-0000-0012,28.9,Cortado,17:24:46.244,2024,3,Thursday,17,Evening,Low
2024-03-28,card,ANON-0000-0000-0012,28.9,Americano,17:27:05.304,2024,3,Thursday,17,Evening,Low
2024-03-28,card,ANON-0000-0000-0086,38.7,Latte,17:32:44.652,2024,3,Thursday,17,Evening,High
2024-03-29,card,ANON-0000-0000-0087,38.7,Latte,10:56:19.495,2024,3,Friday,10,Morning,High
2024-03-29,card,ANON-0000-0000-0088,38.7,Cappuccino,12:34:17.383,2024,3,Friday,12,Afternoon,High
2024-03-29,card,ANON-0000-0000-0088,38.7,Cappuccino,12:41:32.125,2024,3,Friday,12,Afternoon,High
2024-03-29,cash,Unknown,40.0,Cappuccino,13:22:44.618,2024,3,Friday,13,Afternoon,High
2024-03-30,card,ANON-0000-0000-0069,38.7,Latte,11:59:19.854,2024,3,Saturday,11,Morning,High
2024-03-30,cash,Unknown,40.0,Cappuccino,13:49:25.815,2024,3,Saturday,13,Afternoon,High
2024-03-30,card,ANON-0000-0000-0017,38.7,Latte,16:12:31.786,2024,3,Saturday,16,Afternoon,High
2024-03-30,card,ANON-0000-0000-0009,38.7,Latte,16:36:40.513,2024,3,Saturday,16,Afternoon,High
2024-03-30,card,ANON-0000-0000-0009,33.8,Americano with Milk,16:37:57.553,2024,3,Saturday,16,Afternoon,Medium
2024-03-31,card,ANON-0000-0000-0089,38.7,Cappuccino,10:40:04.523,2024,3,Sunday,10,Morning,High
2024-03-31,cash,Unknown,30.0,Americano,19:36:45.000,2024,3,Sunday,19,Evening,Medium
2024-04-01,card,ANON-0000-0000-0004,28.9,Americano,10:28:47.601,2024,4,Monday,10,Morning,Low
2024-04-01,card,ANON-0000-0000-0004,33.8,Americano with Milk,10:29:42.318,2024,4,Monday,10,Morning,Medium
2024-04-01,card,ANON-0000-0000-0004,33.8,Americano with Milk,10:30:43.735,2024,4,Monday,10,Morning,Medium
2024-04-01,card,ANON-0000-0000-0009,33.8,Americano with Milk,11:15:43.836,2024,4,Monday,11,Morning,Medium
2024-04-01,cash,Unknown,40.0,Cappuccino,17:01:42.924,2024,4,Monday,17,Evening,High
2024-04-01,card,ANON-0000-0000-0024,33.8,Americano with Milk,18:18:42.372,2024,4,Monday,18,Evening,Medium
2024-04-01,card,ANON-0000-0000-0090,38.7,Hot Chocolate,18:45:27.436,2024,4,Monday,18,Evening,High
2024-04-02,card,ANON-0000-0000-0001,38.7,Latte,10:01:14.022,2024,4,Tuesday,10,Morning,High
2024-04-02,card,ANON-0000-0000-0003,28.9,Americano,16:18:34.169,2024,4,Tuesday,16,Afternoon,Low
2024-04-02,card,ANON-0000-0000-0003,28.9,Cortado,16:19:28.460,2024,4,Tuesday,16,Afternoon,Low
2024-04-02,cash,Unknown,40.0,Cappuccino,19:59:31.942,2024,4,Tuesday,19,Evening,High
2024-04-03,card,ANON-0000-0000-0003,28.9,Cortado,10:19:13.644,2024,4,Wednesday,10,Morning,Low
2024-04-03,card,ANON-0000-0000-0003,28.9,Americano,10:20:07.655,2024,4,Wednesday,10,Morning,Low
2024-04-03,card,ANON-0000-0000-0012,38.7,Cappuccino,13:12:05.367,2024,4,Wednesday,13,Afternoon,High
2024-04-03,cash,Unknown,30.0,Cortado,15:36:11.735,2024,4,Wednesday,15,Afternoon,Medium
2024-04-04,card,ANON-0000-0000-0091,38.7,Latte,10:44:55.988,2024,4,Thursday,10,Morning,High
2024-04-04,card,ANON-0000-0000-0092,38.7,Latte,11:26:38.085,2024,4,Thursday,11,Morning,High
2024-04-04,card,ANON-0000-0000-0093,38.7,Cappuccino,11:27:48.411,2024,4,Thursday,11,Morning,High
2024-04-04,card,ANON-0000-0000-0094,28.9,Cortado,12:23:02.216,2024,4,Thursday,12,Afternoon,Low
2024-04-04,cash,Unknown,40.0,Latte,19:42:07.740,2024,4,Thursday,19,Evening,High
2024-04-05,card,ANON-0000-0000-0095,28.9,Americano,10:40:42.728,2024,4,Friday,10,Morning,Low
2024-04-05,card,ANON-0000-0000-0012,28.9,Americano,10:42:06.204,2024,4,Friday,10,Morning,Low
2024-04-05,card,ANON-0000-0000-0096,28.9,Cortado,11:06:14.643,2024,4,Friday,11,Morning,Low
2024-04-05,card,ANON-0000-0000-0097,33.8,Americano with Milk,12:14:27.975,2024,4,Friday,12,Afternoon,Medium
2024-04-05,card,ANON-0000-0000-0098,38.7,Latte,14:23:40.387,2024,4,Friday,14,Afternoon,High
2024-04-05,card,ANON-0000-0000-0098,28.9,Cortado,14:24:50.417,2024,4,Friday,14,Afternoon,Low
2024-04-05,cash,Unknown,40.0,Latte,15:30:50.383,2024,4,Friday,15,Afternoon,High
2024-04-05,cash,Unknown,40.0,Cappuccino,15:54:15.768,2024,4,Friday,15,Afternoon,High
2024-04-05,cash,Unknown,30.0,Americano,15:55:30.947,2024,4,Friday,15,Afternoon,Medium
2024-04-05,cash,Unknown,40.0,Cocoa,16:17:43.975,2024,4,Friday,16,Afternoon,High
2024-04-05,card,ANON-0000-0000-0003,24.0,Espresso,16:18:23.558,2024,4,Friday,16,Afternoon,Low
2024-04-06,card,ANON-0000-0000-0099,33.8,Americano with Milk,12:32:31.398,2024,4,Saturday,12,Afternoon,Medium
